text,target
العتماني عندو اللباقة و الجدال بالغة سد فمك,1
إن كتب لنا الموت بهذا الفيروس فذاك يبقى قضاء و قدر و سبب من الأسباب و إن كتب لنا أن نعيش بعده فحتما، عاجلا أم اجلا سنموت أهم شيء الرجوع الى الله و الاستغفار و نسأله تعالى أن يعافينا و يرحمنا و يغفر لنا الموت واحد والأسباب متعددة فلما الخوف,1
خوتي الله ينجيكم من هاد الفيروس الخبيث يا رب العالمين حظيو ريوسكم الوقاية ثم الوقاية ثم الوقاية 💚 لي قد يتأبونا الله يرحم ليه الوالدين لي مقدش الله يرحم ليه الوالدين,1
الحمد لله على أن ڤيروس كورونا لا يعيش في ما فوق 22 درجة حرارية . وما كون بقا الطايح كتر من الواقف . وخير ذليل على هذا الكلام وزير النقل وشحال من مسؤول سلم عليه وشحال من واحد سلم على كل واحد ...!!!,1
و بخصوص الكمامات فهو على صواب الكمامة تحمي فقط المريض لا غير,1
صحفية في المستوى و واعية تطرح اسئلة وكأنها تتكلم بلسان كل مواطن مغربي تحية 👍🏿,1
ناس كدوي مافاهما والو راه الى ركزتو فهضرتو غ تفهمو بزااف لكن مع لاسف حنا مكنسمعوش باش نفهمو كنسمعو غير باش نجاوبو و سلام هما حبسو لقرايا باش ناس تجلس فدارها و شي وحدين نايضين كيسافرو و كيخرجو شعب ماواخدش الامر بجدية و كنرجعو اللوم كله على الحكومه,1
الله يحفظ بلادنا,1
الإخوان نحن في فترة ليست لتبادل الكلام الفيروس مازال في فترته الأولى ويجب علينا الاتحاد من أجل النجاة بحياتنا وحياة أبنائنا وأبائنا فهدا المرض فتك بإيطاليا وفرنسا وأمريكا رغم تطورهم وتوفرهم على إمكانيات كبيرة أما المغرب إن إستمر في هذه الكمية إمكانياته قادرة عليه أما إن تطور العدد إلا تزايد المصابين فلا حول ولا قوة إلا بالله العلي العظيم. مازال لنا الوقت لنتحد ونتحكم في هدا الوباء فكفاكم من التراهات,1
لن يصيبنا الا ما كتب الله لنا💓,1
تكلم كطبيب 👍 لأنه في الأصل طبيب قبل ما يكون وزير أول و أراه صادقا في قوله # راه رواح ناس هادي#. الله يحفظ بلادنا و سائر بلاد خلق الله أجمعين ⚘,1
نتمناو خير انشاء الله,1
😂🤣😂🤣😂🤣😂 الشفافية و الثقة .. لا بد أن تكون الثقة😂😂😂😂,1
اوا الاه يحفض يا رب,1
واش المغرب سد المطارات غير علا الدول العربية ولا جميع الدول؟😓,0
الحسن الثاني الله يرحمه قال رصاصة للعدو و رصاصتين الخائن,1
اعجبت بتحليلاتك لمواضيع الساعة وما يروج له بفتح الراء في الساحة وحتى لغتك العربية الفصحى قل نظيرها بين ليوتوبرز هنيئا لك اعانك الله على الأمر بالمعروف والنهى عن المنكر حتى نطهر بلادنا من الفساد والمفسدين ونقضي على الرذيلة والخبت والخبتاء تحياتي لك,1
بغيتي الخددمة في العثماني حرام عليك,1
اللهم نسالك العفو العافية,1
نعم صاحب الجلالة الملك محمد السادس قام باجتماع في ساعات متأخرة مع بعض المسؤولين و أعطى أوامره لإحضار جميع الطلبة المغاربة المحاصرين في مدينة الأشباح الصينية,1
الله يحفظ ملكنا وبلاد المسلمين كافة,1
الله يحف بلادنا وملكنا يارب,1
تبارك الله عليك موسوعة فكرية رائعة 🙏🙏🙏🙏🙏🙏🙏🙏🙏,1
حفظ الله ملكنا الغالي و جعله ذخرا لهذه البلاد !,1
جزاك الله الف خير يارب علي كل النصائح ربي يحفظك لينا يارب ويحفطك الولديك كلامك معقول اخي,1
جزاك الله خيرا,1
